University of California Santa Cruz,,,,,,,,,,,,,,,
Grade Distribution Fall 2011,,,,,,,,,,,,,,,

This provides the number of undergraduate students in a given class who received each grade.  Classes displayed are undergraduate classes with 10 or more students enrolled; classes in which all or all but one students who completed the class received the same grade have been omitted.  Definitions of grades can be found at http://registrar.ucsc.edu/grading/chart.html.,,,,,,,,,,,,,,,
Created 3/27/2012,,,,,,,,,,,,,,,
Instructor,Subject-Catalog Number,Course Title,A+,A,A-,B+,B,B-,C+,C,D,F,P,NP,W
"Burman-Hall,Linda C",MUSC- 8,Balinese Gamelan,5,5,0,0,0,0,0,0,0,0,0,0,0
"Cailloux,Renee",FREN- 3,Instr French Lang,2,7,2,3,1,1,0,0,0,0,4,0,0
,FREN- 4,Intermed French,0,8,9,10,3,0,1,1,1,0,4,0,0
"Calierno,Carlos",SPAN- 5,Intermed Spanish,0,8,11,10,5,0,0,0,1,1,4,2,2
,SPAN- 6,Intermed/Adv Span,0,4,9,4,1,1,0,0,0,2,2,0,1
"Callanan,Maureen",PSYC- 1,Intro Psychology,8,27,26,30,59,47,20,43,24,11,1,1,1
,PSYC- 194A,Adv Devel Research,1,8,3,1,1,0,1,0,0,0,0,0,0
"Calsoyas,Candace",CLEI- 80A,UD:Environ/Society,0,10,6,7,18,1,0,0,0,0,1,0,0
"Camblin,Caren Elise",STEV- 80A,UD:Self & Society,4,18,6,2,7,0,0,3,0,0,0,1,0
"Cameron,Elisabeth L",HAVC- 110,West Afr Vis Cultur,0,7,16,2,9,2,1,1,0,0,2,0,0
"Campbell,Walter I",GERM- 1,Instr German Lang,0,9,5,14,5,2,2,1,0,1,4,0,1
,GERM- 4,Intermediate German,1,12,1,5,4,2,0,1,0,0,6,0,0
"Caparas-Hardwick,Francesca Racquel",CLTE- 80A,UD:Social Justice,0,10,6,0,3,1,1,0,0,0,4,0,0
,OAKS- 80A,UD:CommunicatingDiversity,1,6,5,3,3,2,0,2,0,0,0,0,0
"Cardilla,Kimberly Sue",PSYC- 115,Dev Psychopathology,3,79,29,20,11,9,9,6,1,2,0,0,1
,PSYC- 170,Abnormal Psychology,4,36,27,16,16,9,2,5,2,1,0,0,1
"Carlstroem,Catherine Marie",COWL- 80A,UD: Imagining Justice,0,1,7,6,4,0,1,1,0,0,0,0,0
,COWL- 80B,RI:Imagining Justice,1,10,9,4,1,1,0,0,0,0,0,0,0
"Carr,Emily",MERR- 80A,UD: Cultural IDs,0,17,3,7,10,8,5,9,0,0,0,0,1
"Carr,Mark H",BIOE- 161,Kelp Forest Ecology,2,4,4,11,7,1,0,0,0,0,0,0,0
,BIOE- 161L,Kelp Forest Eco Lab,2,4,4,11,7,1,0,0,0,0,0,0,0
"Carson,Benjamin L.",MUSC- 130,"Theory,Lit,Music II",2,4,7,9,3,4,1,0,0,0,0,0,1
"Carter,Stephen Douglass",KRSG- 80B,RI:Power&Representat,0,15,8,12,6,3,0,0,0,0,1,0,0
,STEV- 80A,UD:Self & Society,0,4,13,2,4,1,0,0,0,0,0,0,0
"Carter,Sue A",PHYS- 6A,Intro Physics I,5,40,32,60,71,49,52,67,4,17,2,1,5
"Castillo Trelles,Carolina",SPAN- 2,Instr Spanish Lang,2,5,10,3,3,0,0,0,0,0,0,0,0
,SPAN- 3,Instr Spanish Lang,2,10,18,8,3,1,1,0,0,0,2,1,0
"Castillo,Pedro G",HIS- 128,Chicana/o History,8,13,11,13,0,3,0,0,0,1,1,0,0
,HIS- 190D,Tale of Two Cities,2,8,3,0,0,0,0,0,0,0,0,0,0
"Centineo,Giulia",ITAL- 1,Instr Italian Lang,6,6,9,13,18,3,3,6,0,0,4,2,1
"Chaffin,Cheryl L.",CRWN- 80A,UD:Ethical Issues,0,4,3,5,4,0,3,0,0,0,1,0,0
"Chan-Malik,Sylvia",AMST- 100,Concepts Amer Study,0,6,0,3,4,3,0,0,1,0,0,0,0
,COWL- 80A,UD: Imagining Justice,0,5,1,6,3,3,2,1,0,0,0,0,0
,COWL- 80B,RI:Imagining Justice,0,10,4,4,2,0,0,1,0,1,0,0,0
"Chan,Pak Kuen",CMPE- 125,Log Desgn W/Verilog,0,5,1,2,4,1,1,3,1,2,0,0,2
,CMPE- 125L,Verilog Laboratory,0,5,1,2,4,1,1,3,1,2,0,0,2
"Chan,Stephanie Hedy",KRSG- 80B,RI:Power&Representat,0,3,7,4,4,1,1,2,0,1,0,0,0
"Chen,Bin",BIOL- 125,Intro to Neurosci,2,3,12,24,28,32,29,12,12,2,0,0,0
"Chen,Nancy N",ANTH- 130G,As Amer Ethnog/Film,3,10,7,11,6,7,1,3,0,1,0,1,0
"Christianson,James Harold",COWL- 80A,UD: Imagining Justice,0,5,8,6,2,0,0,0,0,0,2,0,0
,COWL- 80B,RI:Imagining Justice,2,6,6,5,1,0,0,1,0,0,0,0,0
"Clabuesch,Stephen R",BIOE- 75,Sci Diving Cert,1,3,4,3,0,0,0,0,0,0,0,0,0
"Clapham,Matthew E",EART- 101,The Fossil Record,1,0,3,2,1,4,1,3,1,1,0,0,0
"Cochlin,Rena V",PHYE- 20D,Modern Dance,0,0,0,0,0,0,0,0,0,0,18,4,1
,PHYE- 30G,Fitness Conditioning,0,0,0,0,0,0,0,0,0,0,18,3,0
,PHYE- 30L,Yoga Exercises,0,0,0,0,0,0,0,0,0,0,15,2,0
"Cole,Ethan",HAVC- 160A,Pre-Hispanic Mexico,0,16,2,23,23,19,16,11,4,4,6,1,2
"Conard,Kristin",CRWN- 80A,UD:Ethical Issues,0,6,6,5,8,4,9,3,0,1,0,0,0
"Cooper,Wade Stewart",KRSG- 80A,UD:Power&Represnt,0,10,13,13,11,0,0,1,0,0,0,0,0
"Cooperstein,Bruce N",MATH- 30,Math Problm Solving,0,6,1,5,1,1,0,0,0,0,0,1,1
"Cooppan,Vilashini",LTWL- 150A,Worldings,1,14,8,4,1,0,0,0,0,0,1,0,0
"Cope,Katrina L",CRWN- 185,Career&Internship,0,12,5,2,4,0,0,0,0,0,2,0,0
"Croll,Donald A",BIOE- 165,Marine Conserv Bio,3,26,13,4,2,1,0,0,0,0,0,0,0
"Cruz Salazar,Tania",LALS- 121,Antro juventudes,2,2,1,1,0,4,0,1,1,1,2,0,1
"Cuthbert,David Lee",THEA- 50,Fundamen Production,1,46,0,0,14,1,0,0,0,2,1,0,2
,THEA- 55A,Barnstorm,9,5,1,0,1,0,0,0,0,0,0,0,0
,THEA- 55B,Barnstorm Lab,26,36,6,3,0,2,0,0,0,0,6,1,0
"Daccarett,Paula",HIS- 185I,Latn Am Jewish Hist,0,2,3,3,8,1,0,0,0,2,1,0,0
"Daehnke,John D",AMST- 113A,Imagining America,0,9,6,13,10,6,2,9,0,0,6,0,0
,AMST- 180,TopicsAmericanStudies,0,2,4,6,3,1,3,0,0,0,0,0,0
"Dalbey,Michael S",BIOL- 20A,Cell & Molecular Bi,14,36,46,55,70,0,60,103,0,54,0,1,5
,BIOL- 100,Biochemistry,3,28,0,14,74,0,18,73,0,39,0,0,1
"Dasgupta,Samit",MATH- 100,Intr Proof/Prb Solv,1,4,6,7,14,18,7,10,5,8,0,0,0
"Davis,James Edward",CMPS- 160,Intro Comp Graphics,22,22,12,11,6,3,3,2,1,3,0,0,0
"Davis,William R",CLTE- 80A,UD:Social Justice,1,3,5,2,12,10,2,4,0,1,0,0,0
"De Alfaro,Luca",CMPS- 183,Hypermedia/Web,3,12,2,4,20,9,6,7,0,1,0,0,1
"Delgado-P,Guillermo",ANTH- 80I,Cltr Power Lat Amer,11,20,12,14,4,5,0,0,0,0,3,0,2
"Desa,Subhas",TIM- 101,Mgmt Of Tech Seminr,1,95,2,0,0,0,0,0,0,0,0,0,1
,TIM- 105,Mgmt of Tech I,5,7,10,22,11,4,0,5,3,1,1,0,0
